hash,ux_risk_score,functionName,gasUsed,gas_efficiency,transaction_type
0x5ca9c37d06c07fc178aed48056c4b5bc5bcd9314a8a18255f9d6cf608916c035,100.0,deposit(),43346,0.04611276595744681,Contract Interaction
0x79b42217b3a825ff1b31a76b0c7837d80cb3eb5c659c60fa8f5e5556245d9bf1,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x2db9839ce83d143a9cb0f6981d5d4b6e7d28a1068e48d2f1811e27f92bc04a82,100.0,"approve(address _spender, uint256 _value)",47176,0.050187234042553194,Contract Interaction
0x70ed1d4d6847c39fc797a58c5d83b58cad8af9eed05a5937cde47737c542ff96,100.0,deposit(),28346,0.18897333333333333,Contract Interaction
0xe7f032333b19f4f41112a82b71f81ee9dbecc47ef5b91a4c93405ba0593e0f36,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0xffd64ea48b0019b379308afd89a69c0470137968a6d2cd799a6ddcaca366cee7,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x24d48134df393b218a7e3ba62a9b4640cbfd0873e88656a94cb75e3dd5def506,100.0,deposit(),43346,0.04611276595744681,Contract Interaction
0x2c799a1e653f1c11be02256c1e49bd238c7120918a72e1aba615649d60eed65d,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x6ba21cd089d2bfd3a253c5f61cdf63a3f7ea3afa6caf11eb48d787042852a416,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xdba94df6904bca639a61c54e538c8f9cf1ccde08afe6f2acf9c36e3e106f2512,100.0,"approve(address _spender, uint256 _value)",32176,0.4546944774178961,Contract Interaction
0xe510a2d99d95a6974e5f95a3a745b2ffe873bf6645b764658d978856ac180cd2,100.0,withdraw(uint256 amount),21624,0.14416,Contract Interaction
0xd9e5f58e9da2fc3f8fad7a20b33271f464626df4d6e82800d04f01375feb7a41,100.0,"approve(address _spender, uint256 _value)",45576,0.30384,Contract Interaction
0x1f41f580b642e4115871532ce7909c89477971057609ff2b2c5e440def743301,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xa8a5531668a53beeea65dfbbca1f899c7484cecbaea88e1fbb1b14396de259c2,100.0,"approve(address _spender, uint256 _value)",45576,0.30384,Contract Interaction
0x43cbde5c3004cad5d48c700d72944ec3840227c35333a4076059014305bb85b1,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0xad2576c243da1137840f7492b3fa50098f825f237176420d3aa27cc4e790eb0b,1.0,deposit(),43346,0.6666666666666666,Contract Interaction
0xb9a990b83d04684fc1db4a7dfe84b997dbcb3190534acceef85d587c0c953738,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0xfb89f4c3ac6256c590d410f1420b80c6fa45798f571ffeae9fb0b20429b8eafd,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x86ec2b8900640f56ed8941762635ac6b4d7364b7af68a5deee810519529b3b92,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0xc295229f30245653a07b5b477fd34c564cfec3361d8ad96fc57687a9aeee8015,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x2f1dea1ba5eb8fcdb30d59bbbfef6b0a35963f7dc80d40d8868b051f9e7ab0ad,100.0,"approve(address _spender, uint256 _value)",32176,0.4546944774178961,Contract Interaction
0x3557362f4060d8b0fefeb86b402323f9d747e2402069362d629c5897e60e97c9,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x4758c5a7671e5a9fe3bee73711bcce8eb26513996ef5fdb25fb82bc0bb2fe98b,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0xb7d815ff29ad872b7158b24365783e9e98956c14aaf69f1983998804daf134cd,100.0,"approve(address _spender, uint256 _value)",45448,0.3029866666666667,Contract Interaction
0x2f1c5066ee7b0173f6bd37157d8555967df73717c34fb749ee1a6ec3fa89f2fb,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x6e1876d43d63c5ecd71d767ba47cec9957f22a867ee9084074f2c4bdc0384955,100.0,"approve(address _spender, uint256 _value)",45512,0.3034133333333333,Contract Interaction
0xb5956f00ea6a0a236c84f4f77508394ff2bcf547b8442fe49f3361e87efa05ce,0.0,deposit(),28346,0.6666666666666666,Contract Interaction
0x1c410e6f17567abc2512819251858b04892cccb5a112dc2c89ca8791bc7c8649,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x5b89fbe4280bed14d0f2f540b3e5349ab190fec0e34fd89ef0801c7d8739bd00,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0xc6ddfb4e19e400497f9e8f3ddd0b6dcd35f1fae0ec8c7ab92ee71a7704915025,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x215d2b6604f01741cecb56f55805479a8f303ffddaec7963db478ec3458bd99f,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0xba535a05e4e4aa2183b5bf68429102382d9d4c0607d43ad95140a40aeb556449,100.0,deposit(),28346,0.03015531914893617,Contract Interaction
0x60ff6a254b98e653a135a1937c5155a19f966904bcbcdfc7ea274d5030e9564a,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0xba092fc9dc0dd860db4473e3b37c2558de72cb99f3a9cfe537bb0a3d56c6e255,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x93f293f9ac3ba5730ce081237c686a21b22cb3cb9678f49c4477733bb1e5bcfd,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x6bf20e13e745bdecda03dbe0d0202a14ec1964c6661d6f5e4fee32708eda87f8,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x0ec40b868c8431d6e6b812e8be134f0a94101f3d39440995a86446989e7b0e0c,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x1e38856849728f7f502ee24b6273e6055bb72f067ba27f2492278eedd69bd5c5,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x7ed0273f5ec42186e1617723cb1cbd422024a4d4a8c8b50f0554867fe501a0b5,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0xa9706f72d468ac2d02249770f25b850a47e8ef23bd49e2a218eeab988aed54f8,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0xa00a542fe7429f17be95bdb9cc6edb7772d61ad97f6d051480f43d5bc6771e8f,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x16c6f09a001d970c8dfec30eba89b596428629b6d0574d10d20cb5247e313102,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0x45d32d544422d5fac5a06ecd28116edfe0dd7b86b2982dc288c46d94794f2888,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x1e7b121ec4d86535cc1feb38f1e673d843ec27116594edc129c2be709fb8d515,100.0,withdraw(uint256 amount),21688,0.14458666666666667,Contract Interaction
0xdc14eecbb7d45f4fc30a06b1c8019d837f0bdfec9d13aca9ace66567fe5235a6,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0xaf85e8a3069dd3f5a45017917ddc407fe412bb5431079d184efdbe37666d0cd1,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x7f8f59c00b807e6c94cc79a976aa6d60f3174797e47b2c342a2856d8ebee5cae,100.0,"approve(address _spender, uint256 _value)",47176,0.6666666666666666,Contract Interaction
0x4dd8a520c4d3bb69dbf8b98ff181eea88efee35106cb59d1300d7e8b9e0bb55a,100.0,"approve(address _spender, uint256 _value)",45448,0.3029866666666667,Contract Interaction
0x25954898abc7cda40b705c744182cf7025b7f82f74698207feb5901a742cf023,100.0,"approve(address _spender, uint256 _value)",30448,0.20298666666666668,Contract Interaction
0x6ced391b772a5d51f0519f324b54f3daf7d3b637bf450043f96180075cd27389,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x3ee451f7d4f8d7660e49b44df28b00cd975985292ca4f1c32ebd88fdcf39c434,100.0,deposit(),28346,0.18897333333333333,Contract Interaction
0xd59cb9cbb0c694b5b377dcdf90c9285e032f52ed123bc318ebeb59908b44dcb4,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x5f7d5aa2c2d2ead89e040cd0241f145128b2a9347c1dbe9a79d93592eaf6aa0d,100.0,"approve(address _spender, uint256 _value)",45576,0.30384,Contract Interaction
0xc209ee369b2f11016d9b1bbd32144534789c526e2d6a4b6b0742348628597fc1,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
0xf2de48aa7e43b97f83c7140a15fc0b1a89f6961b8e2c1b0f91f1fcd7c62ca3b1,100.0,deposit(),43346,0.28897333333333336,Contract Interaction
0x6cbe9a9186136f896df31bb05166895db78c8d186d697e40abcc9db08c1896b4,100.0,withdraw(uint256 amount),21624,0.14416,Contract Interaction
0x28ca6eb89118cf171227627b182948bcfc42cdde9731d17bd02206a43ddee8ba,0.0,deposit(),43346,0.6666666666666666,Contract Interaction
